tm,ma,mx,my,mz,ta,aa,ax,ay,az
246737.641761125,594.9023713603864,138.299072265625,-10.12797546386719,-578.5150146484375,246737.627911125,0.4966848753599322,-0.4580230712890625,-0.0272064208984375,0.190185546875
246737.612220125,595.6599709317422,140.9183807373047,-8.905624389648438,-578.6825561523438,246737.598295125,0.5029063221679638,-0.4701080322265625,0.1722412109375,0.047393798828125
246737.581906125,597.0378502336749,142.1407165527344,-4.190887451171875,-579.855712890625,246737.568689125,0.7561017275990182,-0.4139556884765625,0.6177520751953125,-0.1367950439453125
246737.552363125,599.5154022217509,143.7122955322266,-1.22235107421875,-582.0343627929688,246737.539097125,1.11798828307118,-0.4564971923828125,1.014511108398438,0.1107940673828125
246737.522820125,602.93246704005,143.0138092041016,2.270050048828125,-585.7213134765625,246737.509488125,1.43712708708097,-0.347686767578125,1.341354370117188,0.381072998046875
246737.493271125,604.079850816492,140.9183807373047,4.365493774414062,-587.3971557617188,246737.479881125,1.285180776714945,-0.3944244384765625,1.173599243164062,0.3446502685546875
246737.463728125,607.5669467020939,139.6960296630859,6.63555908203125,-591.251708984375,246737.450270125,1.160872648531684,-0.7929229736328125,0.84783935546875,-0.0081787109375
246737.434185125,607.9270547303059,136.9021148681641,8.032516479492188,-592.2572021484375,246737.420660125,1.63313420754936,-1.230270385742188,1.036209106445312,-0.2825469970703125
246737.404644125,610.2375657170386,135.5051574707031,8.730987548828125,-594.9386596679688,246737.391055125,1.420802784761074,-1.113449096679688,0.87286376953125,-0.130462646484375
246737.375096125,615.0745142895443,132.0127563476562,11.17567443847656,-600.6366577148438,246737.361450125,1.0421705578184,-0.71282958984375,0.7547760009765625,0.0911407470703125
246737.345553125,619.8074403511063,131.838134765625,12.39801025390625,-605.4967041015625,246737.331843125,0.8156526113786186,-0.4072113037109375,0.70489501953125,0.0509033203125
246737.316007125,622.1976996768045,129.9173126220703,12.921875,-608.345703125,246737.302236125,1.37169755253625,-0.7409820556640625,1.15283203125,0.0589752197265625
246737.286455125,623.5673939511885,130.2665557861328,12.223388671875,-609.6864013671875,246737.272630125,1.276358729905795,-0.480224609375,1.158660888671875,-0.236602783203125
